iter	Passed	Remaining
407	5808	8428
408	5823	8414
409	5836	8399
410	5850	8384
411	5864	8370
412	5878	8355
413	5892	8340
414	5906	8326
415	5921	8312
416	5935	8298
417	5949	8284
418	5964	8270
419	5978	8256
420	5993	8242
421	6007	8227
422	6021	8213
423	6035	8198
424	6048	8183
425	6062	8168
426	6076	8154
427	6090	8139
428	6104	8124
429	6118	8110
430	6133	8097
431	6147	8083
432	6160	8066
433	6174	8052
434	6187	8037
435	6201	8021
436	6214	8006
437	6227	7991
438	6243	7978
439	6258	7964
440	6272	7950
441	6287	7936
442	6301	7923
443	6316	7909
444	6330	7895
445	6343	7880
446	6357	7865
447	6371	7850
448	6386	7836
449	6399	7821
450	6413	7807
451	6427	7793
452	6442	7779
453	6455	7763
454	6470	7749
455	6485	7736
456	6500	7723
457	6514	7709
458	6528	7694
459	6543	7681
460	6557	7667
461	6573	7655
462	6589	7642
463	6603	7628
464	6618	7614
465	6634	7602
466	6648	7587
467	6664	7575
468	6679	7562
469	6693	7548
470	6708	7534
471	6724	7522
472	6739	7508
473	6754	7495
474	6769	7481
475	6783	7467
476	6797	7453
477	6813	7440
478	6828	7426
479	6844	7414
480	6858	7400
481	6873	7387
482	6888	7373
483	6902	7359
484	6915	7343
485	6929	7328
486	6943	7314
487	6957	7299
488	6970	7283
489	6984	7269
490	6997	7253
491	7011	7239
492	7027	7226
493	7041	7213
494	7056	7199
495	7070	7184
496	7084	7170
497	7098	7155
498	7112	7141
499	7127	7127
500	7141	7112
501	7154	7097
502	7168	7082
503	7181	7067
504	7196	7053
505	7210	7039
506	7225	7025
507	7237	7010
508	7252	6996
509	7266	6981
510	7280	6967
511	7294	6952
512	7308	6938
513	7322	6923
514	7337	6909
515	7351	6895
516	7366	6881
517	7381	6868
518	7395	6853
519	7410	6840
520	7426	6827
521	7441	6814
522	7457	6801
523	7472	6788
524	7487	6774
525	7502	6761
526	7517	6747
527	7533	6734
528	7548	6720
529	7563	6707
530	7579	6694
531	7593	6680
532	7607	6665
533	7621	6650
534	7634	6635
535	7647	6620
536	7660	6604
537	7673	6589
538	7686	6573
539	7699	6558
540	7712	6543
541	7726	6529
542	7739	6513
543	7752	6498
544	7766	6483
545	7779	6468
546	7793	6454
547	7806	6439
548	7820	6424
549	7834	6410
550	7848	6395
551	7861	6380
552	7874	6365
553	7889	6351
554	7903	6337
555	7917	6322
556	7931	6307
557	7944	6293
558	7958	6278
559	7972	6263
560	7985	6248
561	7998	6234
562	8012	6219
563	8026	6204
564	8040	6190
565	8054	6176
566	8068	6161
567	8082	6147
568	8096	6133
569	8111	6119
570	8126	6105
571	8141	6091
572	8155	6077
573	8170	6063
574	8184	6049
575	8199	6035
576	8213	6021
577	8227	6006
578	8240	5991
579	8254	5977
580	8268	5963
581	8282	5948
582	8297	5935
583	8311	5920
584	8325	5906
585	8340	5892
586	8354	5878
587	8368	5863
588	8383	5849
589	8398	5836
590	8413	5822
591	8427	5807
592	8441	5793
593	8454	5778
594	8469	5764
595	8482	5749
596	8495	5735
597	8510	5721
598	8525	5707
599	8539	5692
600	8554	5679
601	8569	5665
602	8584	5651
603	8599	5637
604	8613	5623
605	8627	5609
606	8643	5595
607	8659	5583
608	8675	5569
609	8691	5556
610	8705	5542
611	8720	5528
612	8733	5513
613	8748	5499
614	8763	5486
615	8777	5471
616	8792	5458
617	8806	5443
618	8820	5429
619	8834	5414
620	8850	5401
621	8864	5387
622	8879	5373
623	8894	5359
624	8908	5344
625	8923	5331
