iter	CrossEntropy
305	0.2452810531
306	0.2448366318
307	0.2443436052
308	0.2438736898
309	0.2434691061
310	0.24296037
311	0.2423706107
312	0.2419095758
313	0.2415433781
314	0.2410226378
315	0.2407175785
316	0.2403307228
317	0.2399553862
318	0.2396053921
319	0.2391975443
320	0.238673363
321	0.2381770912
322	0.237818114
323	0.2373779887
324	0.2369438746
325	0.236520131
326	0.2361871512
327	0.2356399174
328	0.2350754239
329	0.234705665
330	0.2341358565
331	0.2337058616
332	0.2332387004
333	0.2328237764
334	0.2323975686
335	0.2317424697
336	0.23132095
337	0.2309206534
338	0.2304222436
339	0.2300125221
340	0.2294613621
341	0.2291872979
342	0.2285772123
343	0.2280759943
344	0.2278281192
345	0.2273821878
346	0.2268405089
347	0.2263699971
348	0.2258201431
349	0.225407357
350	0.2250080434
351	0.2247091882
352	0.2242447298
353	0.2237225391
354	0.2232361737
355	0.2227697312
356	0.2223654802
357	0.221937926
358	0.221566099
359	0.221124299
360	0.2208102017
361	0.2204223059
362	0.2199769821
363	0.219402377
364	0.2190061745
365	0.2186853449
366	0.2182184084
367	0.2177646007
368	0.2173103327
369	0.2167693481
370	0.216177909
371	0.2157628118
372	0.2153687569
373	0.214996784
374	0.2146029356
375	0.2142726856
376	0.213883241
377	0.2134145551
378	0.2129118069
379	0.2126842346
380	0.2122792015
381	0.2118630367
382	0.2114232714
383	0.2109901058
384	0.2106552716
385	0.2102241559
386	0.2097175555
387	0.2093020207
388	0.2088336256
389	0.2083955486
390	0.2079996494
391	0.2075415768
392	0.2071386927
393	0.2065632443
394	0.2060396939
395	0.2055711718
396	0.2050057463
397	0.2045360207
398	0.2039978217
399	0.2036224022
400	0.2033003482
401	0.2029062302
402	0.2025094394
403	0.2021500127
404	0.2016821923
405	0.2012435143
406	0.2008138584
407	0.2005012009
408	0.2000704042
409	0.1997176272
410	0.1992645239
411	0.1987475784
412	0.1983974712
413	0.1980360447
414	0.1977050786
415	0.1972253081
416	0.1968530742
417	0.1964875587
418	0.1960948538
419	0.1956068779
420	0.1952224434
421	0.1948997659
422	0.1944134199
423	0.1940566894
424	0.1936782367
425	0.1933964722
426	0.1930848183
427	0.1927315816
428	0.1923147411
429	0.1919989912
430	0.1916822432
431	0.1913057574
432	0.1909766251
433	0.1904151729
434	0.1899382808
435	0.1895065549
436	0.1891680863
437	0.1887750348
438	0.1883540578
439	0.187873075
440	0.1873860645
441	0.1869580681
442	0.1864606192
443	0.1861030718
444	0.1856524018
445	0.1853065699
446	0.1847869768
447	0.184359744
448	0.1841521712
449	0.1837487243
450	0.1833915322
451	0.1831787445
452	0.1827836301
453	0.1823561918
454	0.1820650102
455	0.1815747099
456	0.1811822254
457	0.1807079056
458	0.1803233731
459	0.1801381038
460	0.1796691694
461	0.1793791167
462	0.1790569565
463	0.1787384295
464	0.1783415163
465	0.1779727985
466	0.1775686387
467	0.1772046943
468	0.1768505572
469	0.1765599276
470	0.1761161921
471	0.1758173845
472	0.1755310043
473	0.1752284964
474	0.1749846639
475	0.1745943247
476	0.1742758355
477	0.1738053514
478	0.1734933707
479	0.1730925684
480	0.1728307837
481	0.1723593484
482	0.1720129883
483	0.1716174054
484	0.1712919871
485	0.1709887265
486	0.1706682312
487	0.1702472704
488	0.1700013707
489	0.1695370649
490	0.1692043109
491	0.1688537033
492	0.1684253977
493	0.1679974111
494	0.1676222114
495	0.1673105553
496	0.1670681889
497	0.1667184743
498	0.1663573016
499	0.1660222353
500	0.1656451829
501	0.1652494625
502	0.1648558386
503	0.1645081602
504	0.1642808781
505	0.1639077584
506	0.1635094109
507	0.1632274954
508	0.1630215308
509	0.1625033406
510	0.1622494355
511	0.1618192168
512	0.1615597521
513	0.1611474983
514	0.1606932992
515	0.1604322955
516	0.1601239278
517	0.1596995772
518	0.1593532514
519	0.1590553156
520	0.158653938
521	0.1582821552
522	0.1579310079
523	0.1576669746
524	0.1574441141
525	0.1571344258
526	0.1568693236
527	0.1565441431
528	0.1563226183
529	0.1561293165
530	0.1558316238
531	0.1555038117
532	0.1552115978
533	0.1549167458
534	0.1545967354
535	0.1543409696
536	0.1540790144
537	0.1537926217
538	0.1534697754
539	0.1531282929
540	0.1528754127
541	0.1526332117
542	0.1524061236
543	0.1520698514
544	0.1518531623
545	0.1514526837
546	0.1510518642
547	0.1507451001
548	0.1504660908
549	0.1502337018
550	0.1499026249
551	0.1497255713
552	0.1494016915
553	0.1490902744
554	0.1488072967
555	0.1485006751
556	0.1482034308
557	0.1478321847
558	0.1474859416
559	0.1471640086
560	0.146963236
561	0.1467614305
562	0.1465322951
563	0.1462044508
564	0.1458718096
565	0.1456388129
566	0.1453861139
567	0.1450734914
568	0.1447654102
569	0.1443864657
570	0.1440912871
571	0.1437609382
572	0.1434015148
573	0.143143841
574	0.1428239814
575	0.1425039954
576	0.1422037792
577	0.1419426144
578	0.1415786885
579	0.1412695733
580	0.1410251796
581	0.1407123709
582	0.1404597778
583	0.1400307356
584	0.1397029017
585	0.1394717576
586	0.1391768867
587	0.1388856244
588	0.1385808456
589	0.1382665793
590	0.1380694574
591	0.1378775079
592	0.1374837939
593	0.1371404513
594	0.136899362
595	0.1365511632
596	0.1363502117
597	0.1360755341
598	0.1357460585
599	0.1354159771
600	0.1352135465
601	0.1348914893
602	0.1346875227
603	0.134353213
604	0.1340838511
605	0.1337057018
606	0.1334651899
607	0.1333164013
608	0.13299786
609	0.1327012968
610	0.1324065035
611	0.1321455767
612	0.1318581563
613	0.1316576009
614	0.131356759
615	0.1311611319
616	0.1308826433
617	0.1306780592
618	0.1304487337
619	0.1301256661
620	0.1299166451
621	0.1296475162
622	0.1293320902
623	0.1290680104
624	0.1287477229
625	0.1284928207
626	0.1282154138
627	0.1279457987
628	0.1276835407
629	0.1275186604
630	0.1273416362
631	0.1270108552
632	0.1268649463
633	0.1265937808
634	0.1262946995
635	0.125913725
636	0.125610972
637	0.1253309087
638	0.1251161299
639	0.124933301
640	0.1247087896
641	0.1244432934
642	0.1241407967
643	0.1239042289
644	0.123592381
645	0.1232769108
646	0.12302052
647	0.1227818838
648	0.1225744351
649	0.122294414
650	0.1220754788
651	0.1218449697
652	0.1216498542
653	0.121360337
654	0.1211006284
655	0.1208652661
656	0.1206034327
657	0.1203317739
658	0.1201199362
659	0.1199075317
660	0.119652019
661	0.1194781962
662	0.1192068811
663	0.1188707098
664	0.1186570715
665	0.118414718
666	0.1181614291
667	0.1178675019
668	0.1177474204
669	0.1175068992
670	0.1173029772
671	0.1170571723
672	0.1168629798
673	0.1166125877
674	0.1164152488
675	0.1161348186
676	0.1158439094
677	0.1155735108
678	0.1152713906
679	0.1151165787
680	0.1148633372
681	0.1146162454
682	0.1143787669
683	0.1141236239
684	0.1137973943
685	0.1136119223
686	0.113463449
687	0.1133061104
688	0.1129627943
689	0.1126657109
690	0.1124083474
691	0.1121990926
692	0.1119012573
693	0.1116812825
694	0.1114243179
695	0.1111775847
696	0.1108756371
697	0.1106962189
698	0.1104482795
699	0.1102035197
700	0.1100282103
701	0.1097762476
702	0.1095459361
703	0.1092710195
704	0.1090832795
705	0.1088777659
706	0.1086913151
707	0.1084263972
708	0.1082210361
709	0.1080595956
710	0.1077683106
711	0.1076028898
712	0.1073437548
713	0.1071386673
714	0.1069256741
715	0.1066920312
716	0.1064942058
717	0.1063005612
718	0.1060335189
719	0.1058368505
720	0.1055804736
721	0.1053706726
722	0.105161595
723	0.1049765509
724	0.104733726
725	0.1045724702
726	0.1042940972
727	0.1040324301
728	0.1038178834
729	0.1035612087
730	0.1033663056
731	0.1032405078
732	0.1030293086
733	0.1028431239
734	0.1027022183
735	0.1024958397
736	0.1022664331
737	0.1021029438
738	0.1018964748
739	0.1016353629
740	0.1014855524
741	0.1012500674
742	0.1010906347
743	0.1008409577
744	0.1005872357
745	0.1004383774
746	0.1001909646
747	0.1000113702
748	0.09987535864
749	0.09977126575
750	0.09960472035
751	0.09938093473
752	0.09921387937
753	0.0990218343
754	0.0987983584
755	0.09862869565
756	0.09838103704
757	0.09820389082
758	0.09798702488
759	0.09779053902
760	0.09757157183
761	0.09744911407
762	0.09725890377
763	0.09705617018
764	0.09686962364
765	0.09661913249
766	0.09644226546
767	0.09621981775
768	0.09599255435
769	0.09580291945
770	0.09563250161
771	0.09546034667
772	0.09528088393
773	0.09510953944
774	0.09492257976
775	0.09469562123
776	0.09443654406
777	0.09420887331
778	0.09396209399
779	0.09381012231
780	0.09356540771
781	0.09332661111
782	0.0931374659
783	0.09297228498
784	0.09281272824
785	0.0926159261
786	0.09237740216
787	0.09215722558
788	0.09200302026
789	0.09187159419
790	0.09165981598
791	0.09153437794
792	0.09142998298
793	0.09123084735
794	0.09110452003
795	0.09098122588
796	0.09087392699
797	0.09067099019
798	0.09059807532
799	0.09044141499
800	0.09022131973
801	0.08996806183
802	0.08977768629
803	0.08955918204
804	0.08945681908
805	0.08926732207
806	0.08911945354
807	0.08897497011
808	0.0887669678
809	0.08854982724
810	0.08841964915
811	0.08832675343
812	0.0881824773
813	0.08799893088
814	0.08781480574
815	0.08768181138
816	0.08754940464
817	0.08735415318
818	0.08714629162
819	0.08697743644
820	0.08679325267
821	0.08661305646
822	0.08647182791
823	0.08634993054
824	0.08618610768
825	0.08604123921
826	0.08581689787
827	0.08567966017
828	0.08550588386
829	0.08536266064
830	0.08516962989
831	0.08506325202
832	0.0849208262
833	0.08472706432
834	0.08454597635
835	0.0843681086
836	0.08414740858
837	0.08399566777
838	0.08377312808
839	0.08360126273
840	0.08341762942
841	0.08323170467
842	0.08307993877
843	0.08287863673
844	0.08264740283
845	0.08251621975
846	0.08238338461
847	0.08216906543
848	0.08204503326
849	0.08187088072
850	0.08169996553
851	0.08155810554
852	0.08138451352
853	0.08120788926
854	0.08106558655
855	0.08090787372
856	0.08070912136
857	0.08054486392
858	0.08037079418
859	0.08018293748
860	0.08002193283
861	0.07982927382
862	0.07966713152
863	0.07956965988
864	0.07943126128
865	0.07928631137
866	0.07911429098
867	0.0789210636
868	0.07878573525
869	0.07858463682
870	0.0784400132
871	0.07829455456
872	0.07813838074
873	0.07798803099
874	0.07783879197
875	0.07770823893
876	0.07756546541
877	0.077450061
878	0.07725505869
879	0.07707267056
880	0.07690726752
881	0.0767206086
882	0.07657821648
883	0.07642651495
884	0.07631368802
885	0.07622118113
886	0.07610407727
887	0.07598693489
888	0.07588029682
889	0.07573133691
890	0.07555585562
891	0.07542642461
892	0.07526208447
893	0.07514773849
894	0.07498924208
895	0.07485643638
896	0.07472416073
897	0.07459000163
898	0.07446901579
899	0.07433752352
900	0.07417938099
901	0.07403476858
902	0.07384596689
903	0.07369511893
904	0.07353756515
905	0.07339192121
906	0.07327589974
907	0.07315723328
908	0.07306150121
909	0.07286694338
910	0.07272531254
911	0.07258489862
912	0.07245333255
913	0.07231670518
914	0.07217956653
915	0.07204166902
916	0.07190680144
917	0.07175384443
918	0.07158345339
919	0.0714473847
920	0.07133600968
921	0.07121146822
922	0.07103212539
923	0.07087616638
924	0.07077086611
925	0.07060538043
926	0.07047479932
927	0.07032819461
928	0.07019659012
929	0.07005051613
930	0.06990414447
931	0.06975469458
932	0.06959744306
933	0.06946648657
934	0.06936893212
935	0.06921068255
936	0.06912517094
937	0.06898322682
938	0.06888143427
939	0.06876122772
940	0.06860521731
941	0.06845820027
942	0.06836165317
943	0.06823336578
944	0.06813014489
945	0.06799892056
946	0.06787794507
947	0.06778828008
948	0.06767248416
949	0.06752956465
950	0.06740781986
951	0.06726589008
952	0.0671583339
953	0.06705966697
954	0.06694905101
955	0.06681561466
956	0.06667302239
957	0.06655240767
958	0.06645434608
959	0.06633715388
960	0.06618131155
961	0.06604353229
962	0.06593092235
963	0.06578604186
964	0.06570129402
965	0.06557697487
966	0.06549345774
967	0.06538656323
968	0.06526767373
969	0.06511549666
970	0.06504006116
971	0.06486750291
972	0.06478458322
973	0.06462100873
974	0.06452409031
975	0.0644064681
976	0.0642285388
977	0.06408328522
978	0.06397858212
979	0.06389684021
980	0.06376434854
981	0.06363671516
982	0.06348054282
983	0.0633649718
984	0.0633078452
985	0.06320244074
986	0.06310442686
987	0.06299849036
988	0.06290108877
989	0.06279028767
990	0.06270855614
991	0.06258271211
992	0.06251057282
993	0.06236688132
994	0.06225714136
995	0.06212779309
996	0.06200699579
997	0.06187183683
998	0.06173237479
999	0.06160700446
